bag_name,start_s,end_s,target_label,target_visible,correct_target_track_id,distractor_track_ids,event_type,notes
2026-05-14__hard_reentry_video_review,0.00,4.67,NO_TARGET_SELECTED,true,1,2,pre_selection,target visible but no selected target output yet
2026-05-14__hard_reentry_video_review,4.67,9.14,CORRECT_TARGET,true,1,2,correct_raw_correct_v2e,raw and TIM-V2E follow the correct selected person id 1 while distractor id 2 is separate
2026-05-14__hard_reentry_video_review,9.14,14.20,CORRECT_TARGET,true,1,2,no_target_output,target visible but neither raw nor TIM-V2E appears to output a target
2026-05-14__hard_reentry_video_review,14.20,29.31,CORRECT_TARGET,true,1,2,correct_raw_correct_v2e,target and distractor standing still and separated; both outputs correct
2026-05-14__hard_reentry_video_review,29.31,30.93,CORRECT_TARGET,true,1,2,no_target_output,target visible but neither raw nor TIM-V2E appears to output a target
2026-05-14__hard_reentry_video_review,30.93,47.41,CORRECT_TARGET,true,1,2,correct_raw_correct_v2e,target and distractor standing still and separated; both outputs correct
2026-05-14__hard_reentry_video_review,47.41,49.48,CORRECT_TARGET,true,1,2,wrong_raw_lost_v2e,raw switches to distractor id 2 while TIM-V2E has no valid target or is reacquiring
2026-05-14__hard_reentry_video_review,49.48,68.76,CORRECT_TARGET,true,1,2,correct_raw_correct_v2e,both raw and TIM-V2E follow correct id 1 even after crossings
2026-05-14__hard_reentry_video_review,68.76,71.34,CORRECT_TARGET,true,1,,crossing,target id 1 is in front of distractor during crossing; raw remains correct and TIM-V2E is not outputting consistently
2026-05-14__hard_reentry_video_review,71.34,72.95,CORRECT_TARGET,true,96,1,wrong_raw_correct_v2e,true target becomes id 96; raw remains on wrong id 1; TIM-V2E follows correct id 96
2026-05-14__hard_reentry_video_review,72.95,75.07,CORRECT_TARGET,true,96,1,wrong_raw_lost_v2e,true target id 96 visible; raw wrong on id 1; TIM-V2E lost or no valid output
2026-05-14__hard_reentry_video_review,75.07,76.87,CORRECT_TARGET,true,96,1,wrong_raw_correct_v2e,true target id 96 visible; raw wrong on id 1; TIM-V2E correct on id 96
2026-05-14__hard_reentry_video_review,76.87,78.33,CORRECT_TARGET,true,96,1,wrong_raw_lost_v2e,true target id 96 visible; raw wrong on id 1; TIM-V2E lost or no valid output
2026-05-14__hard_reentry_video_review,78.33,80.33,CORRECT_TARGET,true,96,1,lost_both_target_visible,true target id 96 visible but both raw and TIM-V2E appear lost or no valid output
2026-05-14__hard_reentry_video_review,80.33,82.61,AMBIGUOUS_TARGET,true,,1,ambiguous_visibility,target still visible but true track id unclear; raw wrong on id 1 and TIM-V2E lost
2026-05-14__hard_reentry_video_review,82.61,84.07,CORRECT_TARGET,true,113,1,wrong_raw_wrong_v2e,true target id 113 visible; raw and TIM-V2E both wrong on distractor id 1
2026-05-14__hard_reentry_video_review,84.07,86.00,CORRECT_TARGET,true,113,1,wrong_raw_correct_v2e,true target id 113 visible; raw wrong on id 1; TIM-V2E correct
2026-05-14__hard_reentry_video_review,86.00,99.41,CORRECT_TARGET,true,113,1,wrong_raw_wrong_v2e,true target id 113 visible; TIM-V2E intermittently reacquires but locks to distractor when active
2026-05-14__hard_reentry_video_review,99.41,101.07,TARGET_OCCLUDED,false,,1,occlusion,target partly behind distractor and not reliably visible
2026-05-14__hard_reentry_video_review,101.07,109.07,CORRECT_TARGET,true,142,1,correct_raw_correct_v2e,true target id 142 visible; both raw and TIM-V2E correct
2026-05-14__hard_reentry_video_review,109.07,115.08,CORRECT_TARGET,true,161,1,wrong_raw_wrong_v2e,true target id 161 visible; raw and TIM-V2E wrong
2026-05-14__hard_reentry_video_review,115.08,133.08,CORRECT_TARGET,true,161,173,correct_raw_correct_v2e,true target id 161 visible; distractor id 173; raw and TIM-V2E correct
